Région,Type de protection,Année de protection,Commune,Appellation courante
Midi-Pyrénées (Occitanie),I,2006,Capvern,Eglise de Capvern-les-Bains
Midi-Pyrénées (Occitanie),I,1995,Lourdes,Domaine du sanctuaire de Lourdes
Ile-de-France,I,2000,Bois-Colombes,Soufflerie Hispano-Suiza
Ile-de-France,I,1975,Boulogne-Billancourt,Atelier de Dora Gordine
Ile-de-France,I,1975,Boulogne-Billancourt,Atelier Lipchitz
Ile-de-France,I,1975,Boulogne-Billancourt,Hôtel de ville
Ile-de-France,I&C,1972,Boulogne-Billancourt,Immeuble
Ile-de-France,I,1975,Boulogne-Billancourt,Maison
Ile-de-France,I,1984,Boulogne-Billancourt,Maison Collinet
Ile-de-France,I,1972,Boulogne-Billancourt,Maison Cook
Ile-de-France,I,1975,Boulogne-Billancourt,Maison cubiste du peintre Alfred Lombard
Ile-de-France,I,1975,Boulogne-Billancourt,Maison Mietschaninoff
Ile-de-France,I&C,1972,Bourg-la-Reine,Immeuble dit Villa ou Tour Hennebique
Ile-de-France,I,2004,Châtillon,Eglise Notre-Dame du Calvaire
Ile-de-France,C,2009,Clamart,Bibliothèque pour enfants
Ile-de-France,I,2003,Clamart,Hospice Ferrari
Ile-de-France,I,1976,Garches,Propriété de Nubar Bey
Ile-de-France,I,2007,Issy-les-Moulineaux,Eglise Notre-Dame des Pauvres
Ile-de-France,C,2008,Issy-les-Moulineaux,"La Tour aux Figures, de Jean Dubuffet"
Ile-de-France,I,2004,Malakoff,"Ancienne Ecole Supérieure d'Électricité, actuelle Faculté de droit de l'Université René-Descartes - Paris V"
Ile-de-France,C,1983,Meudon,Maison André-Bloc
Ile-de-France,C,1972,Meudon,Musée Rodin ou Villa les Brillants
Ile-de-France,I&C,2000,Meudon,Office National d'Etudes et de Recherches Aérospatiales (ONERA)
Ile-de-France,I,1965,Meudon,Villa Van Doesburg
Ile-de-France,I,2006,Montrouge,Eglise Saint-Jacques le Majeur
Ile-de-France,I,1984,Neuilly-sur-Seine,Ancien hôtel Lambiotte
Ile-de-France,I,1966,Neuilly-sur-Seine,Maisons Jaoul
Ile-de-France,I,2014,Sceaux,Maison Badin
Ile-de-France,I,2010,Sceaux,Maison d'André Lurçat
Ile-de-France,I,2000,Sceaux,Villa Larrey
Ile-de-France,I,2005,Sceaux,Villa Trapenard
Ile-de-France,C,2002,Suresnes,Ecole de plein air
Ile-de-France,I&C,1993,Suresnes,Lycée Paul Langevin
Ile-de-France,I,1975,Vaucresson,Villa Stein
Ile-de-France,I,1975,Ville-d'Avray,Villa Augier-Prouvost
Ile-de-France,I,1974,Ville-d'Avray,Villa Hefferlin
Languedoc-Roussillon (Occitanie),C,1996,Agde,Villa dite château Laurens
Languedoc-Roussillon (Occitanie),I&C,2001,Béziers,"Ancien centre d'apprentissage pour garçons, actuel lycée professionnel Jean Mermoz"
Languedoc-Roussillon (Occitanie),I,2008,Mauguio,Ancienne motte féodale et jardin de la Motte
Languedoc-Roussillon (Occitanie),I,2002,Montpellier,Eglise paroissiale Sainte-Thérèse-de-Lisieux ou Eglise Sainte-Thérèse-de-l'Enfant-Jésus-et-de-la-Sainte-Face
Languedoc-Roussillon (Occitanie),C,1947,Montpellier,Hôpital Général Saint-Charles et clinique Saint-Charles
Languedoc-Roussillon (Occitanie),I,2008,Sète,Anciens entrepôts Dubonnet
Bretagne,C,2012,Saint-Malo,Phare du Grand-Jardin
Centre (Centre-Val de Loire),I,2001,Châteauroux,Centre social (maison du Peuple)
Centre (Centre-Val de Loire),I,2001,Châteauroux,Chambre de Commerce et d'Industrie de l'Indre
Centre (Centre-Val de Loire),I,1991,Déols,Ancienne usine Marcel Bloch
